======================================================================
# Constraint Transport Solver: Initialize Orszag-Tang vortex condition
t = 0.010 | divB = 0.005 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.020 | divB = 0.011 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.030 | divB = 0.016 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.040 | divB = 0.023 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.050 | divB = 0.034 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.060 | divB = 0.048 | E = 0.349 | P = 0.134 | rho = 0.221
t = 0.070 | divB = 0.066 | E = 0.349 | P = 0.135 | rho = 0.221
t = 0.080 | divB = 0.087 | E = 0.349 | P = 0.136 | rho = 0.221
t = 0.090 | divB = 0.107 | E = 0.349 | P = 0.137 | rho = 0.221
t = 0.100 | divB = 0.125 | E = 0.349 | P = 0.138 | rho = 0.221
t = 0.110 | divB = 0.139 | E = 0.349 | P = 0.140 | rho = 0.221
t = 0.120 | divB = 0.150 | E = 0.349 | P = 0.142 | rho = 0.221
t = 0.130 | divB = 0.162 | E = 0.349 | P = 0.144 | rho = 0.221
t = 0.140 | divB = 0.177 | E = 0.349 | P = 0.146 | rho = 0.221
t = 0.150 | divB = 0.195 | E = 0.349 | P = 0.148 | rho = 0.221
t = 0.160 | divB = 0.217 | E = 0.349 | P = 0.150 | rho = 0.221
t = 0.170 | divB = 0.238 | E = 0.349 | P = 0.152 | rho = 0.221
t = 0.180 | divB = 0.258 | E = 0.349 | P = 0.154 | rho = 0.221
t = 0.190 | divB = 0.273 | E = 0.349 | P = 0.155 | rho = 0.221
t = 0.200 | divB = 0.285 | E = 0.349 | P = 0.157 | rho = 0.221
t = 0.210 | divB = 0.289 | E = 0.349 | P = 0.158 | rho = 0.221
t = 0.220 | divB = 0.285 | E = 0.349 | P = 0.160 | rho = 0.221
t = 0.230 | divB = 0.277 | E = 0.349 | P = 0.161 | rho = 0.221
t = 0.240 | divB = 0.268 | E = 0.349 | P = 0.162 | rho = 0.221
t = 0.250 | divB = 0.260 | E = 0.349 | P = 0.162 | rho = 0.221
t = 0.260 | divB = 0.254 | E = 0.349 | P = 0.163 | rho = 0.221
t = 0.270 | divB = 0.250 | E = 0.349 | P = 0.163 | rho = 0.221
t = 0.280 | divB = 0.248 | E = 0.349 | P = 0.164 | rho = 0.221
t = 0.290 | divB = 0.248 | E = 0.349 | P = 0.164 | rho = 0.221
t = 0.300 | divB = 0.249 | E = 0.349 | P = 0.165 | rho = 0.221
t = 0.310 | divB = 0.249 | E = 0.349 | P = 0.165 | rho = 0.221
t = 0.320 | divB = 0.247 | E = 0.349 | P = 0.166 | rho = 0.221
t = 0.330 | divB = 0.245 | E = 0.349 | P = 0.166 | rho = 0.221
t = 0.340 | divB = 0.250 | E = 0.349 | P = 0.167 | rho = 0.221
t = 0.350 | divB = 0.256 | E = 0.349 | P = 0.167 | rho = 0.221
t = 0.360 | divB = 0.263 | E = 0.349 | P = 0.168 | rho = 0.221
t = 0.370 | divB = 0.271 | E = 0.349 | P = 0.168 | rho = 0.221
t = 0.380 | divB = 0.281 | E = 0.349 | P = 0.169 | rho = 0.221
t = 0.390 | divB = 0.291 | E = 0.349 | P = 0.169 | rho = 0.221
t = 0.400 | divB = 0.296 | E = 0.349 | P = 0.170 | rho = 0.221
t = 0.410 | divB = 0.294 | E = 0.349 | P = 0.171 | rho = 0.221
t = 0.420 | divB = 0.287 | E = 0.349 | P = 0.171 | rho = 0.221
t = 0.430 | divB = 0.281 | E = 0.349 | P = 0.172 | rho = 0.221
t = 0.440 | divB = 0.273 | E = 0.349 | P = 0.173 | rho = 0.221
t = 0.450 | divB = 0.262 | E = 0.349 | P = 0.174 | rho = 0.221
t = 0.460 | divB = 0.254 | E = 0.349 | P = 0.174 | rho = 0.221
t = 0.470 | divB = 0.249 | E = 0.349 | P = 0.175 | rho = 0.221
t = 0.480 | divB = 0.241 | E = 0.349 | P = 0.175 | rho = 0.221
t = 0.490 | divB = 0.235 | E = 0.349 | P = 0.176 | rho = 0.221
t = 0.500 | divB = 0.233 | E = 0.349 | P = 0.177 | rho = 0.221
======================================================================
# Ensemble Kalman Filter Application for Constraint Transport Solver
t = 0.017 | divB = 0.058 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.033 | divB = 0.086 | E = 0.349 | P = 0.134 | rho = 0.221
t = 0.049 | divB = 0.098 | E = 0.349 | P = 0.137 | rho = 0.221
t = 0.065 | divB = 0.129 | E = 0.349 | P = 0.141 | rho = 0.221
t = 0.081 | divB = 0.169 | E = 0.349 | P = 0.147 | rho = 0.221
t = 0.097 | divB = 0.213 | E = 0.349 | P = 0.154 | rho = 0.221
t = 0.111 | divB = 0.252 | E = 0.349 | P = 0.162 | rho = 0.221
t = 0.125 | divB = 0.323 | E = 0.349 | P = 0.169 | rho = 0.221
t = 0.138 | divB = 0.459 | E = 0.349 | P = 0.177 | rho = 0.221
t = 0.151 | divB = 0.717 | E = 0.349 | P = 0.184 | rho = 0.221
t = 0.164 | divB = 1.119 | E = 0.349 | P = 0.191 | rho = 0.221
t = 0.177 | divB = 1.598 | E = 0.349 | P = 0.200 | rho = 0.221
t = 0.191 | divB = 2.202 | E = 0.349 | P = 0.209 | rho = 0.221
t = 0.206 | divB = 2.789 | E = 0.349 | P = 0.219 | rho = 0.221
t = 0.221 | divB = 3.330 | E = 0.349 | P = 0.227 | rho = 0.221
t = 0.237 | divB = 3.785 | E = 0.349 | P = 0.235 | rho = 0.221
t = 0.253 | divB = 4.273 | E = 0.349 | P = 0.242 | rho = 0.221
t = 0.269 | divB = 4.560 | E = 0.349 | P = 0.252 | rho = 0.221
t = 0.286 | divB = 4.780 | E = 0.349 | P = 0.260 | rho = 0.221
t = 0.303 | divB = 5.000 | E = 0.349 | P = 0.267 | rho = 0.221
t = 0.320 | divB = 5.244 | E = 0.349 | P = 0.272 | rho = 0.221
t = 0.337 | divB = 5.506 | E = 0.349 | P = 0.275 | rho = 0.221
t = 0.353 | divB = 5.756 | E = 0.349 | P = 0.278 | rho = 0.221
t = 0.369 | divB = 5.979 | E = 0.349 | P = 0.280 | rho = 0.221
t = 0.383 | divB = 6.175 | E = 0.349 | P = 0.281 | rho = 0.221
t = 0.398 | divB = 6.342 | E = 0.349 | P = 0.282 | rho = 0.221
t = 0.412 | divB = 6.447 | E = 0.349 | P = 0.282 | rho = 0.221
t = 0.426 | divB = 6.544 | E = 0.349 | P = 0.283 | rho = 0.221
t = 0.440 | divB = 6.635 | E = 0.349 | P = 0.284 | rho = 0.221
t = 0.453 | divB = 6.716 | E = 0.349 | P = 0.283 | rho = 0.221
t = 0.467 | divB = 6.788 | E = 0.349 | P = 0.283 | rho = 0.221
t = 0.479 | divB = 6.852 | E = 0.349 | P = 0.284 | rho = 0.221
t = 0.492 | divB = 6.908 | E = 0.349 | P = 0.284 | rho = 0.221
======================================================================
# Constraint Transport Solver: Initialize Orszag-Tang vortex condition
t = 0.010 | divB = 0.005 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.020 | divB = 0.011 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.030 | divB = 0.016 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.040 | divB = 0.023 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.050 | divB = 0.034 | E = 0.349 | P = 0.133 | rho = 0.221
t = 0.060 | divB = 0.048 | E = 0.349 | P = 0.134 | rho = 0.221
t = 0.070 | divB = 0.066 | E = 0.349 | P = 0.135 | rho = 0.221
t = 0.080 | divB = 0.087 | E = 0.349 | P = 0.136 | rho = 0.221
t = 0.090 | divB = 0.107 | E = 0.349 | P = 0.137 | rho = 0.221
t = 0.100 | divB = 0.125 | E = 0.349 | P = 0.138 | rho = 0.221
t = 0.110 | divB = 0.139 | E = 0.349 | P = 0.140 | rho = 0.221
t = 0.120 | divB = 0.150 | E = 0.349 | P = 0.142 | rho = 0.221
t = 0.130 | divB = 0.162 | E = 0.349 | P = 0.144 | rho = 0.221
t = 0.140 | divB = 0.177 | E = 0.349 | P = 0.146 | rho = 0.221
t = 0.150 | divB = 0.195 | E = 0.349 | P = 0.148 | rho = 0.221
t = 0.160 | divB = 0.217 | E = 0.349 | P = 0.150 | rho = 0.221
